normal_fruit_count,normal_fruit_weight_g
0,0
1,213.0952380952381
2,332.7313432835821
3,500.3174603174603
4,647.2142857142857
5,784.4444444444445
6,1016.3392857142857
7,1199.3333333333333
8,1312.844827586207
9,1517.7450980392157
10,1645.108695652174
11,1835.967741935484
12,1974.7058823529412
13,2144.75
14,2411.923076923077
15,2369.375
16,2390.4545454545455
17,2833
18,2707.7272727272725
19,2713.3333333333335
20,2772.6923076923076
21,3303
22,3258.3333333333335
23,3365
24,3497.5
25,4435
26,4085
27,2750
28,5030
29,4785
32,3317.5
33,5770
36,3965
47,710
