date,LAI,DAP (d)
2021/02/23,0.1077118258261475,22
2021/03/17,2.4693535429275344,44
2021/03/28,6.95219591880456,55
2021/04/08,9.299327834609823,66
2021/04/11,9.540556210165498,69
2021/04/22,6.357737266348885,80
2021/04/23,5.152333833217289,81
2021/04/24,9.162539499758985,82
2021/04/28,8.102758288254511,86
2021/07/11,3.645106716298002,160
2021/07/26,5.699274275614591,175
2021/07/30,5.000526217128166,179
2021/08/19,2.6046281666755933,199
2021/08/27,2.575103703604521,207
2021/08/31,3.347122285485924,211
