date,leaf_length,leaf_width,leaf_count,DAP (d),internode_count
2021/03/24,26.8375,36.423125,14.96875,51,14.9375
2021/03/31,29.575,40.490625,17.09375,58,20.09375
2021/04/07,27.94375,36.725,17.0875,65,22.46875
2021/04/14,28.5375,39.118125,17,72,29.09375
2021/04/21,28.028125,36.784375,17.96875,79,35.625
2021/04/28,28.322580645161292,37.20322580645161,16.080645161290324,86,41.096774193548384
2021/05/05,28.225806451612904,38.18064516129032,14.741935483870968,93,46.32258064516129
2021/05/12,28.96451612903226,33.98064516129032,15.648387096774194,100,52.225806451612904
2021/05/19,25.732258064516127,32.5,16.870967741935484,107,58.193548387096776
2021/05/26,26.861290322580643,33.119354838709675,16.838709677419356,114,63.354838709677416
2021/06/02,36.08709677419355,34.5258064516129,16.06451612903226,121,68.54838709677419
2021/06/09,27.287096774193547,33.19032258064516,15.774193548387096,128,74.38709677419355
2021/06/16,27.351612903225806,32.85806451612903,15.429032258064517,135,80.6774193548387
2021/06/23,27.774193548387096,33.75806451612903,15,142,85.6774193548387
2021/06/30,27.89677419354839,32.44903225806452,17.193548387096776,149,92.7741935483871
2021/07/07,27.03548387096774,40.34193548387097,16.64516129032258,156,99.61290322580645
2021/07/14,26.1,31.238709677419354,17.193548387096776,163,106.51612903225806
2021/07/21,25.761290322580646,30.138709677419357,15.935483870967742,170,113.03225806451613
2021/07/28,25.861290322580647,30.677419354838708,16.419354838709676,177,119.25806451612904
2021/08/04,25.570967741935483,30.55483870967742,14.62258064516129,184,125.41935483870968
2021/08/11,26.025806451612905,29.045161290322582,15.741935483870968,191,131.16129032258064
2021/08/18,24.616129032258065,29.258064516129032,15.516129032258064,198,136.51612903225808
2021/08/25,25.223870967741934,30.77741935483871,16.835483870967742,205,140.38709677419354
